Locality,2014pop
Henveyru,27254
Galolhu,23062
Machchangolhi,22745
Maafannu,36437
Villingili,7516
Hulhumale',14843
HA. Thuraakunu,393
HA. Uligamu,368
HA. Mulhadhoo,221
HA. Hoarafushi,1728
HA. Ihavandhoo,2468
HA. Kelaa,1041
HA. Vashafaru,426
HA. Dhidhdhoo,2651
HA. Filladhoo,562
HA. Maarandhoo,647
HA. Thakandhoo,336
HA. Utheemu,538
HA. Muraidhoo,444
HA. Baarah,1181
HDh. Hanimaadhoo,1618
HDh. Finey,389
HDh. Naivaadhoo,397
HDh. Hirimaradhoo,315
HDh. Nolhivaranfaru,991
HDh. Nellaidhoo,827
HDh. Nolhivaramu,1830
HDh. Kurnibi,448
HDh. Kulhudhuffushi,8226
HDh. Kumundhoo,859
HDh. Neykurendhoo,711
HDh. Vaikaradhoo,746
HDh. Makunudhoo,1213
Sh. Kanditheemu,1071
Sh. Noomaraa,337
Sh. Goidhoo,497
Sh. Feydhoo,723
Sh. Feevah,613
Sh. Billeffahi,465
Sh. Foakaidhoo,1320
Sh. Narudhoo,472
Sh. Maroshi,426
Sh. Lhaimagu,562
Sh. Komandhoo,1063
Sh. Maaun'goodhoo,774
Sh. Funadhoo,2019
N. Hen'badhoo,478
N. Ken'dhikulhudhoo,1288
N. Maalhendhoo,633
N. Kudafari,415
N. Landhoo,652
N. Maafaru,697
N. Lhohi,576
N. Miladhoo,799
N. Magoodhoo,255
N. Manadhoo,1311
N. Holhudhoo,1515
N. Fodhdhoo,215
N. Velidhoo,1722
R. Alifushi,1578
R. Vaadhoo,375
R. Rasgetheemu,487
R. An'golhitheemu,373
R. Un'goofaaru,1388
R. Dhuvaafaru,2924
R. Maakurathu,769
R. Rasmaadhoo,496
R. Innamaadhoo,504
R. Maduvvari,1398
R. In'guraidhoo,1134
R. Fainu,304
R. Meedhoo,1669
R. Kinolhas,432
R. Hulhudhuffaaru,1103
B. Kudarikilu,410
B. Kamadhoo,354
B. Kendhoo,830
B. Kihaadhoo,345
B. Dhonfanu,359
B. Daravandhoo,744
B. Maalhos,460
B. Eydhafushi,2554
B. Thulhaadhoo,1412
B. Hithaadhoo,670
B. Fulhadhoo,175
B. Fehendhoo,99
B. Goidhoo,507
Lh. Hinnavaru,2449
Lh. Naifaru,3868
Lh. Kurendhoo,1179
Lh. Olhuvelifushi,500
K. Kaashidhoo,1728
K. Gaafaru,1013
K. Dhiffushi,967
K. Thulusdhoo,1133
K. Huraa,1014
K. Himmafushi,1334
K. Gulhi,832
K. Maafushi,2631
K. Guraidhoo,1580
AA. Thoddoo,1348
AA. Rasdhoo,949
AA. Ukulhas,921
AA. Mathiveri,623
AA. Bodufolhudhoo,586
AA. Feridhoo,413
AA. Maalhos,408
AA. Himandhoo,667
ADh. Hangn'aameedhoo,481
ADh. Omadhoo,843
ADh. Kun'burudhoo,438
ADh. Mahibadhoo,1939
ADh. Mandhoo,295
ADh. Dhn'agethi,713
ADh. Dhigurah,529
ADh. Fenfushi,729
ADh. Dhidhdhoo,137
ADh. Maamigili,2079
V. Fulidhoo,324
V. Thinadhoo,73
V. Felidhoo,489
V. Keyodhoo,635
V. Rakeedhoo,101
M. Raiymandhoo,112
M. Veyvah,223
M. Mulah,1195
M. Muli,776
M. Naalaafushi,406
M. Kolhufushi,702
M. Dhiggaru,947
M. Maduvvari,350
F. Feeali,810
F. Biledhhdhoo,869
F. Magoodhoo,524
F. Dharan'boodhoo,384
F. Nilandhoo,1553
Dh. Meedhoo,870
Dh. Ban'didhoo,716
Dh. Rin'budhoo,255
Dh. Hulhudeli,681
Dh. Maaen'boodhoo,591
Dh. Kudahuvadhoo,2216
Th. Buruni,312
Th. Vilufushi,976
Th. Madifushi,742
Th. Dhiyamigili,511
Th. Guraidhoo,1212
Th. Kan'doodhoo,370
Th. Vandhoo,275
Th. Hirilandhoo,953
Th. Gaadhiffushi,239
Th. Thimarafushi,1102
Th. Veymandoo,1052
Th. Kinbidhoo,764
Th. Omadhoo,415
L. Ishdhoo,909
L. Dhan'bidhoo,622
L. Maabaidhoo,608
L. Mundoo,222
L. Gamu,2809
L. Maavah,1400
L. Fonadhoo,2101
L. Gaadhoo,174
L. Maamendhoo,826
L. Hithadhoo,990
L. Kunahandhoo,628
L. Kalaidhoo,552
GA. Kolamaafushi,894
GA. Viligili,2554
GA. Maamendhoo,1055
GA. Nilandhoo,501
GA. Dhaandhoo,1044
GA. Devvadhoo,505
GA. Kodey,259
GA. Gemanafushi,1160
GA. Kandhuhulhudhoo,505
GDh. Madaveli,1155
GDh. Hoadhedhdhoo,803
GDh. Nadallaa,738
GDh. Gadhdhoo,1395
GDh. Rathafandhoo,515
GDh. Vaadhoo,661
GDh. Fiyoari,689
GDh. Faresmaathoda,1028
GDh. Thinadhoo,4669
Gn. Fuvahmulah,8095
S. Meedhoo,1777
S. Hithadhoo,10398
S. Maradhoo,2195
S. Feydhoo,3193
S. Maradhoofeydhoo,1158
S. Hulhudhoo,1108
